Geschlecht,Frage,Studierende
keine Angabe,Q3.1,2
keine Angabe,Q3.5,1
keine Angabe,Q3.9,3
keine Angabe,Q3.13,3
keine Angabe,Q3.17,1
keine Angabe,Q3.21,1
keine Angabe,Q3.25,3
keine Angabe,Q3.29,2
keine Angabe,Q3.33,1
keine Angabe,Q3.37,2
keine Angabe,Q3.41,2
keine Angabe,Q3.45,1
keine Angabe,Q3.49,1
keine Angabe,Q3.53,2
keine Angabe,Q3.57,1
männlich,Q3.1,10
männlich,Q3.5,6
männlich,Q3.9,45
männlich,Q3.13,18
männlich,Q3.17,15
männlich,Q3.21,7
männlich,Q3.25,14
männlich,Q3.29,3
männlich,Q3.33,19
männlich,Q3.37,27
männlich,Q3.41,7
männlich,Q3.45,1
männlich,Q3.49,1
männlich,Q3.53,31
männlich,Q3.57,1
weiblich,Q3.1,49
weiblich,Q3.5,6
weiblich,Q3.9,90
weiblich,Q3.13,72
weiblich,Q3.17,16
weiblich,Q3.21,20
weiblich,Q3.25,43
weiblich,Q3.29,10
weiblich,Q3.33,21
weiblich,Q3.37,49
weiblich,Q3.41,18
weiblich,Q3.45,5
weiblich,Q3.49,8
weiblich,Q3.53,38
weiblich,Q3.57,1
